gridSize,blue,red,flag,instructionCount,bblCount
17,7,5,A,17321068,1926811
17,7,6,A,18672850,2077450
17,7,7,A,21231171,2364689
17,7,8,A,20923280,2328086
17,7,9,A,23918453,2664026
17,7,10,A,23184806,2577164
17,8,1,A,15584945,1737815
17,8,2,A,16191029,1803644
17,8,3,A,17257558,1920418
17,8,4,A,18815715,2094288
17,8,5,A,20241392,2251087
17,8,6,A,21148421,2352481
17,8,7,A,23697153,2638507
17,8,8,A,22987107,2557046
17,8,9,A,26017709,2896450
17,8,10,A,25077829,2786421
17,9,1,A,16486361,1841781
17,9,2,A,17029995,1900695
17,9,3,A,17873866,1992632
17,9,4,A,19246435,2145106
17,9,5,A,20882673,2325794
17,9,6,A,22872855,2547252
17,9,7,A,25362919,2826063
17,9,8,A,25318387,2818759
17,9,9,A,28332467,3155564
17,9,10,A,27059109,3008357
17,10,1,A,17292484,1933260
17,10,2,A,17810283,1989483
17,10,3,A,18435018,2057072
17,10,4,A,19635133,2189930
17,10,5,A,21155055,2357979
17,10,6,A,22792663,2539598
17,10,7,A,24626135,2743254
17,10,8,A,26712470,2975287
17,10,9,A,29687257,3307403
17,10,10,A,29770934,3311427
18,1,1,A,740602,76760
18,1,2,A,1468267,156787
18,1,3,A,3314856,361234
18,1,4,A,4299149,471660
18,1,5,A,6414981,707231
18,1,6,A,10487534,1166868
18,1,7,A,12694137,1411523
18,1,8,A,15123939,1683514
18,1,9,A,19288157,2150796
18,1,10,A,24141872,2695622
18,2,1,A,1581647,169939
18,2,2,A,2349937,254099
18,2,3,A,4196616,458540
18,2,4,A,5079435,558001
18,2,5,A,7192349,793231
18,2,6,A,11248270,1251019
18,2,7,A,13454955,1495588
18,2,8,A,15870559,1766054
18,2,9,A,20010322,2230413
18,2,10,A,24908755,2780052
18,3,1,A,2833119,307563
18,3,2,A,3545415,385657
18,3,3,A,5117354,558857
18,3,4,A,6275326,689380
18,3,5,A,8392082,925026
18,3,6,A,12388274,1376162
18,3,7,A,14597479,1620965
18,3,8,A,16938952,1883204
18,3,9,A,21055436,2344648
18,3,10,A,26040551,2904115
18,4,1,A,4670160,511856
18,4,2,A,5359226,587356
18,4,3,A,6773205,743046
18,4,4,A,8160372,898599
18,4,5,A,10276877,1134192
18,4,6,A,14210129,1578162
18,4,7,A,16415539,1822476
18,4,8,A,18684504,2076437
18,4,9,A,22673305,2523421
18,4,10,A,27851105,3104219
18,5,1,A,6779812,748821
18,5,2,A,7434520,820705
18,5,3,A,8609513,949820
18,5,4,A,10192715,1126336
18,5,5,A,12403963,1372997
18,5,6,A,15923990,1768682
18,5,7,A,18632616,2070525
18,5,8,A,21225369,2360968
18,5,9,A,25336699,2821682
18,5,10,A,29385589,3274395
18,6,1,A,7911213,873083
18,6,2,A,8549430,943215
18,6,3,A,9671409,1066431
18,6,4,A,11119148,1227360
18,6,5,A,13020501,1438424
18,6,6,A,16519656,1832190
18,6,7,A,18897612,2095929
18,6,8,A,22148724,2461403
18,6,9,A,26440926,2942208
18,6,10,A,29076273,3234014
18,7,1,A,12221394,1358619
18,7,2,A,12874445,1430067
18,7,3,A,14045174,1558569
18,7,4,A,15624296,1734356
18,7,5,A,17815391,1978540
18,7,6,A,21318641,2372253
18,7,7,A,24010754,2671881
18,7,8,A,26590147,2960328
18,7,9,A,30575858,3406363
18,7,10,A,34634931,3859902
18,8,1,A,15760512,1755233
18,8,2,A,16415390,1826843
18,8,3,A,17580179,1954589
18,8,4,A,19159241,2130214
18,8,5,A,21344720,2373663
18,8,6,A,24860410,2768392
18,8,7,A,27553993,3067864
18,8,8,A,30090619,3351701
18,8,9,A,34132873,3803425
18,8,10,A,38138972,4250563
18,9,1,A,17766259,1982226
18,9,2,A,18389280,2050263
18,9,3,A,19474106,2169121
18,9,4,A,20851004,2321623
18,9,5,A,22611080,2516303
18,9,6,A,25958446,2892260
18,9,7,A,28256787,3146508
18,9,8,A,31226785,3479479
18,9,9,A,35685266,3977674
18,9,10,A,37637516,4190578
18,10,1,A,22415586,2501336
18,10,2,A,23053206,2570868
18,10,3,A,24152328,2691147
18,10,4,A,25573277,2848398
18,10,5,A,27447089,3055780
18,10,6,A,30910484,3444740
18,10,7,A,33270767,3705737
18,10,8,A,36414188,4058197
18,10,9,A,40644673,4529950
18,10,10,A,43148670,4806203
