gridSize,blue,red,flag,instructionCount
16,7,6,A,17939887
16,7,7,A,18634838
16,7,8,A,22111004
16,7,9,A,22864124
16,7,10,A,23601499
16,7,11,A,26318479
16,7,12,A,26434990
16,7,13,A,28785634
16,7,14,A,30484368
16,7,15,A,32963492
16,7,16,A,33882652
16,8,1,A,15160259
16,8,2,A,15611162
16,8,3,A,16935150
16,8,4,A,18492336
16,8,5,A,19315460
16,8,6,A,20592363
16,8,7,A,20971972
16,8,8,A,24654977
16,8,9,A,25146786
16,8,10,A,26077546
16,8,11,A,28657499
16,8,12,A,28707348
16,8,13,A,31066866
16,8,14,A,32589080
16,8,15,A,35030843
16,8,16,A,35982839
16,9,1,A,15522327
16,9,2,A,15900438
16,9,3,A,16933885
16,9,4,A,18236312
16,9,5,A,19373225
16,9,6,A,21379850
16,9,7,A,22816702
16,9,8,A,25611602
16,9,9,A,27460390
16,9,10,A,28275290
16,9,11,A,30812527
16,9,12,A,30194745
16,9,13,A,32548558
16,9,14,A,34214886
16,9,15,A,36577283
16,9,16,A,37473872
16,10,1,A,16818784
16,10,2,A,17167871
16,10,3,A,18089277
16,10,4,A,19213030
16,10,5,A,20272521
16,10,6,A,22110986
16,10,7,A,23537142
16,10,8,A,25770621
16,10,9,A,27819031
16,10,10,A,29853095
16,10,11,A,32211570
16,10,12,A,32685266
16,10,13,A,34961633
16,10,14,A,36490388
16,10,15,A,38762833
16,10,16,A,39654613
16,11,1,A,19556075
16,11,2,A,19900797
16,11,3,A,20816502
16,11,4,A,21951831
16,11,5,A,22977724
16,11,6,A,24798919
16,11,7,A,26220951
16,11,8,A,28411831
16,11,9,A,30462569
16,11,10,A,32494560
16,11,11,A,34805190
16,11,12,A,35195103
16,11,13,A,37516828
16,11,14,A,39167340
16,11,15,A,41116648
16,11,16,A,42119278
16,12,1,A,23972491
16,12,2,A,24314317
16,12,3,A,25273074
16,12,4,A,26454937
16,12,5,A,27536486
16,12,6,A,29411922
16,12,7,A,30918613
16,12,8,A,33116991
16,12,9,A,35049015
16,12,10,A,36570447
16,12,11,A,38802840
16,12,12,A,37964504
16,12,13,A,39949892
16,12,14,A,41530664
16,12,15,A,42935868
16,12,16,A,44267890
16,13,1,A,27270143
16,13,2,A,27666413
16,13,3,A,28721878
16,13,4,A,29998209
16,13,5,A,31226143
16,13,6,A,33211322
16,13,7,A,34364802
16,13,8,A,37205733
16,13,9,A,38103607
16,13,10,A,38084413
16,13,11,A,40349807
16,13,12,A,38766113
16,13,13,A,40824677
